#gene_id,sprot_Top_BLASTX_hit
evm.model.Seg1464.4,.
evm.model.Seg1464.5,.
evm.model.Seg1464.6,.
evm.model.Seg1464.7,.
evm.model.Seg1464.8,sp|Q5M824|SHC1_RAT^sp|Q5M824|SHC1_RAT^Q:411-974
evm.model.Seg1464.9,.
evm.model.Seg1464.10,sp|Q6DFV8|VWDE_MOUSE^sp|Q6DFV8|VWDE_MOUSE^Q:790-2457
evm.model.Seg1464.11,sp|Q9EQC4|ELOV4_MOUSE^sp|Q9EQC4|ELOV4_MOUSE^Q:195-1046
evm.model.Seg1464.12,.
evm.model.Seg1464.13,.
evm.model.Seg1464.14,.
evm.model.Seg14645.1,sp|Q0VMC3|DCUP_ALCBS^sp|Q0VMC3|DCUP_ALCBS^Q:13-1014
evm.model.Seg14645.2,.
evm.model.Seg1465.1,sp|Q2YDJ8|KMT5A_BOVIN^sp|Q2YDJ8|KMT5A_BOVIN^Q:70-456
evm.model.Seg1465.2,.
evm.model.Seg1465.3,.
evm.model.Seg1465.4,.
evm.model.Seg1465.5,.
evm.model.Seg1465.6,.
evm.model.Seg1465.7,.
evm.model.Seg14652.1,.
evm.model.Seg14652.2,.
evm.model.Seg14652.3,.
evm.model.Seg14657.1,.
evm.model.Seg14657.2,sp|Q8A2B1|SPEA_BACTN^sp|Q8A2B1|SPEA_BACTN^Q:1-459
evm.model.Seg1466.1,sp|Q8R1U1|COG4_MOUSE^sp|Q8R1U1|COG4_MOUSE^Q:1-147
evm.model.Seg1466.2,.
evm.model.Seg1466.3,sp|Q8BLK9|KS6C1_MOUSE^sp|Q8BLK9|KS6C1_MOUSE^Q:2745-3266
evm.model.Seg1466.4,sp|Q0V8G3|QPCTL_BOVIN^sp|Q0V8G3|QPCTL_BOVIN^Q:181-624
evm.model.Seg1466.4,sp|Q0V8G3|QPCTL_BOVIN^sp|Q0V8G3|QPCTL_BOVIN^Q:181-624
evm.model.Seg1466.5,.
evm.model.Seg14660.1,sp|Q8R087|B4GT7_MOUSE^sp|Q8R087|B4GT7_MOUSE^Q:99-551
evm.model.Seg1467.1,.
evm.model.Seg1467.1.1.57f48f76,.
evm.model.Seg1467.2,sp|Q3UHD2|GFOD1_MOUSE^sp|Q3UHD2|GFOD1_MOUSE^Q:16-1152
evm.model.Seg1467.3,.
evm.model.Seg1467.4,.
evm.model.Seg1467.5,sp|B5X4H8|RFT2_SALSA^sp|B5X4H8|RFT2_SALSA^Q:202-1464
evm.model.Seg1467.6,sp|P41759|PGK_SCHMA^sp|P41759|PGK_SCHMA^Q:2-703
evm.model.Seg1467.7,sp|P0C7U4|C3AR_DANRE^sp|P0C7U4|C3AR_DANRE^Q:145-1074
evm.model.Seg1467.8,sp|P91427|PGK_CAEEL^sp|P91427|PGK_CAEEL^Q:37-381
evm.model.Seg1467.9.1.57f48f76,sp|P22770|ACHA7_CHICK^sp|P22770|ACHA7_CHICK^Q:297-1244
evm.model.Seg1467.9,sp|P22770|ACHA7_CHICK^sp|P22770|ACHA7_CHICK^Q:296-1342
evm.model.Seg1467.10,.
evm.model.Seg14677.1,sp|Q8TB22|SPT20_HUMAN^sp|Q8TB22|SPT20_HUMAN^Q:4-402
evm.model.Seg14677.2,sp|Q9Z8L2|MALQ_CHLPN^sp|Q9Z8L2|MALQ_CHLPN^Q:37-1611
evm.model.Seg1468.1,sp|Q80TL4|PHF24_MOUSE^sp|Q80TL4|PHF24_MOUSE^Q:112-912
evm.model.Seg1468.1.1.57f48f76,sp|Q80TL4|PHF24_MOUSE^sp|Q80TL4|PHF24_MOUSE^Q:1383-2183
evm.model.Seg1468.1.2.57f48f76,sp|Q80TL4|PHF24_MOUSE^sp|Q80TL4|PHF24_MOUSE^Q:1502-2302
evm.model.Seg1468.1.3.57f48f76,sp|Q80TL4|PHF24_MOUSE^sp|Q80TL4|PHF24_MOUSE^Q:1534-2334
evm.model.Seg1468.2,sp|Q8HZM5|GLNA_CANLF^sp|Q8HZM5|GLNA_CANLF^Q:363-1454
evm.model.Seg1469.1,.
evm.model.Seg1469.2,sp|Q5XK94|TIDC1_XENLA^sp|Q5XK94|TIDC1_XENLA^Q:65-769
evm.model.Seg1469.3,.
evm.model.Seg1469.4,sp|Q4AEI0|GPX2_PONPY^sp|Q4AEI0|GPX2_PONPY^Q:282-842
evm.model.Seg1469.5.1.57f48f76,sp|O43252|PAPS1_HUMAN^sp|O43252|PAPS1_HUMAN^Q:427-2253
evm.model.Seg1469.5,sp|O43252|PAPS1_HUMAN^sp|O43252|PAPS1_HUMAN^Q:1621-3360
evm.model.Seg1469.6,sp|Q2YDN1|GP161_BOVIN^sp|Q2YDN1|GP161_BOVIN^Q:1456-2319
evm.model.Seg1469.6,sp|Q2YDN1|GP161_BOVIN^sp|Q2YDN1|GP161_BOVIN^Q:1456-2319
evm.model.Seg1469.7,.
evm.model.Seg1469.8,.
evm.model.Seg1469.9,.
evm.model.Seg1469.10,.
evm.model.Seg1469.10,.
evm.model.Seg14693.1,sp|E8MF12|NAHK_BIFL2^sp|E8MF12|NAHK_BIFL2^Q:43-1080
evm.model.Seg147.1,sp|Q96PE2|ARHGH_HUMAN^sp|Q96PE2|ARHGH_HUMAN^Q:1-177
evm.model.Seg147.2,sp|Q96PE2|ARHGH_HUMAN^sp|Q96PE2|ARHGH_HUMAN^Q:4-183
evm.model.Seg147.3,.
evm.model.Seg147.4,.
evm.model.Seg147.5,sp|P23921|RIR1_HUMAN^sp|P23921|RIR1_HUMAN^Q:117-2546
evm.model.Seg147.6,sp|Q9DCC4|P5CR3_MOUSE^sp|Q9DCC4|P5CR3_MOUSE^Q:186-977
evm.model.Seg147.7,sp|Q922W5|P5CR1_MOUSE^sp|Q922W5|P5CR1_MOUSE^Q:122-910
evm.model.Seg147.8,sp|Q6PCB5|RSBNL_HUMAN^sp|Q6PCB5|RSBNL_HUMAN^Q:135-1208
evm.model.Seg1470.1,.
evm.model.Seg1470.2,.
evm.model.Seg1470.3,sp|Q9DC58|DRAM1_MOUSE^sp|Q9DC58|DRAM1_MOUSE^Q:442-1005
evm.model.Seg1470.4,sp|Q6NRT6|DJC10_XENLA^sp|Q6NRT6|DJC10_XENLA^Q:183-2408
evm.model.Seg1470.5,sp|Q8N1C3|GBRG1_HUMAN^sp|Q8N1C3|GBRG1_HUMAN^Q:27-215
evm.model.Seg1470.6,.
evm.model.Seg1470.7,.
evm.model.Seg1470.8,.
evm.model.Seg1470.9,sp|Q9H501|ESF1_HUMAN^sp|Q9H501|ESF1_HUMAN^Q:3-419
evm.model.Seg1470.10,.
evm.model.Seg1470.11,.
evm.model.Seg1471.1,.
evm.model.Seg1471.2,sp|Q8C6L5|CGAS_MOUSE^sp|Q8C6L5|CGAS_MOUSE^Q:207-1148
evm.model.Seg1471.3,.
evm.model.Seg1471.4,sp|Q9VT28|FRY_DROME^sp|Q9VT28|FRY_DROME^Q:1-756
evm.model.Seg1471.5,sp|Q9VT28|FRY_DROME^sp|Q9VT28|FRY_DROME^Q:1-783
evm.model.Seg1471.6,sp|Q9VT28|FRY_DROME^sp|Q9VT28|FRY_DROME^Q:1-336
evm.model.Seg1471.7,.
evm.model.Seg1471.8,.
evm.model.Seg1471.9,.
evm.model.Seg1471.10,sp|Q6UX65|DRAM2_HUMAN^sp|Q6UX65|DRAM2_HUMAN^Q:647-1180
evm.model.Seg1472.1,sp|Q9HCG7|GBA2_HUMAN^sp|Q9HCG7|GBA2_HUMAN^Q:2-157
evm.model.Seg1472.2,sp|Q5M868|GBA2_RAT^sp|Q5M868|GBA2_RAT^Q:2-679
evm.model.Seg1472.3,.
evm.model.Seg1472.4,.
evm.model.Seg1472.5,.
evm.model.Seg1472.6,.
evm.model.Seg1472.7,.
evm.model.Seg1472.8,sp|Q08AY6|KT5AA_XENLA^sp|Q08AY6|KT5AA_XENLA^Q:118-447
evm.model.Seg1472.9,.
evm.model.Seg1472.10,.
evm.model.Seg1472.11,.
evm.model.Seg1472.12,.
evm.model.Seg1472.13,.
evm.model.Seg1472.14,.
evm.model.Seg1472.15,.
evm.model.Seg1472.16,.
evm.model.Seg1472.17,.
evm.model.Seg1472.18,.
evm.model.Seg1472.19,sp|Q91XQ0|DYH8_MOUSE^sp|Q91XQ0|DYH8_MOUSE^Q:1-153
evm.model.Seg1472.20,sp|Q8TE73|DYH5_HUMAN^sp|Q8TE73|DYH5_HUMAN^Q:1-408
evm.model.Seg1472.21,.
evm.model.Seg14720.1,sp|P43329|HRPA_ECOLI^sp|P43329|HRPA_ECOLI^Q:4-738
evm.model.Seg14720.2,sp|P37024|HRPB_ECOLI^sp|P37024|HRPB_ECOLI^Q:199-1173
evm.model.Seg14720.3,.
evm.model.Seg1473.1,.
evm.model.Seg1473.2,sp|Q0P5J9|RPR1A_BOVIN^sp|Q0P5J9|RPR1A_BOVIN^Q:1-150
evm.model.Seg1473.3,.
evm.model.Seg1473.4,.
evm.model.Seg1473.5,.
evm.model.Seg1473.6,.
evm.model.Seg1473.7,sp|Q8TEP8|CE192_HUMAN^sp|Q8TEP8|CE192_HUMAN^Q:3-158
evm.model.Seg1473.8,sp|Q8TEP8|CE192_HUMAN^sp|Q8TEP8|CE192_HUMAN^Q:1-243
evm.model.Seg1473.9,sp|Q8TEP8|CE192_HUMAN^sp|Q8TEP8|CE192_HUMAN^Q:58-297
evm.model.Seg1473.10,.
evm.model.Seg1473.11,sp|Q8TD57|DYH3_HUMAN^sp|Q8TD57|DYH3_HUMAN^Q:2-1267
evm.model.Seg1473.12,sp|Q8TD57|DYH3_HUMAN^sp|Q8TD57|DYH3_HUMAN^Q:3-191
evm.model.Seg1474.2,sp|E9Q349|WDR25_MOUSE^sp|E9Q349|WDR25_MOUSE^Q:83-541
evm.model.Seg1474.1,sp|Q8K2J9|BTBD6_MOUSE^sp|Q8K2J9|BTBD6_MOUSE^Q:151-1191
evm.model.Seg1474.1,sp|Q8K2J9|BTBD6_MOUSE^sp|Q8K2J9|BTBD6_MOUSE^Q:151-1191
evm.model.Seg1474.3,sp|Q6ZMW3|EMAL6_HUMAN^sp|Q6ZMW3|EMAL6_HUMAN^Q:10-531
evm.model.Seg1474.4,sp|Q5SQM0|EMAL6_MOUSE^sp|Q5SQM0|EMAL6_MOUSE^Q:277-2331
evm.model.Seg1474.5.1.57f48f76,sp|Q0WU02|MTP10_ARATH^sp|Q0WU02|MTP10_ARATH^Q:378-1331
evm.model.Seg1474.5,sp|Q0WU02|MTP10_ARATH^sp|Q0WU02|MTP10_ARATH^Q:378-1331
evm.model.Seg1474.5.2.57f48f76,sp|Q0WU02|MTP10_ARATH^sp|Q0WU02|MTP10_ARATH^Q:378-1331
evm.model.Seg1474.6,.
evm.model.Seg1474.7,.
evm.model.Seg1474.8,.
evm.model.Seg1474.9,sp|Q5R733|CPEB1_PONAB^sp|Q5R733|CPEB1_PONAB^Q:789-1613
evm.model.Seg1474.9.1.57f48f76,sp|P0C279|CPEB1_RAT^sp|P0C279|CPEB1_RAT^Q:720-1637
evm.model.Seg1474.10,sp|D3ZTX0|TMED7_RAT^sp|D3ZTX0|TMED7_RAT^Q:70-588
evm.model.Seg1474.11,sp|Q05AQ3|S2542_XENTR^sp|Q05AQ3|S2542_XENTR^Q:2-487
evm.model.Seg14743.1,sp|Q32PI1|VRK1_BOVIN^sp|Q32PI1|VRK1_BOVIN^Q:9-197
evm.model.Seg14748.1,sp|Q3Z9I7|SYFB_DEHM1^sp|Q3Z9I7|SYFB_DEHM1^Q:164-820
evm.model.Seg14748.2,sp|Q8NT41|MGTA_CORGL^sp|Q8NT41|MGTA_CORGL^Q:7-540
evm.model.Seg1475.1,sp|Q7TPQ3|SHPRH_MOUSE^sp|Q7TPQ3|SHPRH_MOUSE^Q:1706-3352
evm.model.Seg1475.1.1.57f48f76,sp|Q7TPQ3|SHPRH_MOUSE^sp|Q7TPQ3|SHPRH_MOUSE^Q:1706-3250
evm.model.Seg1475.2,sp|Q708S3|ASI4B_DANRE^sp|Q708S3|ASI4B_DANRE^Q:67-1329
evm.model.Seg1475.3,sp|P28799|GRN_HUMAN^sp|P28799|GRN_HUMAN^Q:99-233
evm.model.Seg1475.4,.
evm.model.Seg1475.5,sp|Q6AW68|SC16B_CHICK^sp|Q6AW68|SC16B_CHICK^Q:8-202
evm.model.Seg1475.6,.
evm.model.Seg1475.7,.
evm.model.Seg1475.8,.
evm.model.Seg1475.9,.
evm.model.Seg1475.10,sp|Q7Q6S8|MED14_ANOGA^sp|Q7Q6S8|MED14_ANOGA^Q:92-481
evm.model.Seg1475.11,.
evm.model.Seg1475.12,.
evm.model.Seg1475.13,.
evm.model.Seg1475.14,sp|P62975|UBIQ_RABIT^sp|P62975|UBIQ_RABIT^Q:1-177
evm.model.Seg1475.15,sp|Q96M32|KAD7_HUMAN^sp|Q96M32|KAD7_HUMAN^Q:94-753
evm.model.Seg14756.1,.
evm.model.Seg14758.1,.
evm.model.Seg14759.1,.
evm.model.Seg1476.1,.
evm.model.Seg1476.2_evm.model.Seg1476.3,.
evm.model.Seg1476.2_evm.model.Seg1476.3,.
evm.model.Seg1476.4,sp|P42297|YXIE_BACSU^sp|P42297|YXIE_BACSU^Q:169-594
evm.model.Seg1476.5,sp|P42297|YXIE_BACSU^sp|P42297|YXIE_BACSU^Q:121-558
evm.model.Seg1476.6,.
evm.model.Seg1477.1.2.57f48f76,.
evm.model.Seg1477.1,.
evm.model.Seg1477.1.3.57f48f76,.
evm.model.Seg1477.1.1.57f48f76,.
evm.model.Seg1477.2,sp|Q66GV0|MPV17_XENLA^sp|Q66GV0|MPV17_XENLA^Q:49-573
evm.model.Seg1477.3,sp|Q10574|LIN32_CAEEL^sp|Q10574|LIN32_CAEEL^Q:532-732
evm.model.Seg1477.4,sp|Q9NV58|RN19A_HUMAN^sp|Q9NV58|RN19A_HUMAN^Q:524-1564
evm.model.Seg1477.5,sp|A1L2F6|TM205_DANRE^sp|A1L2F6|TM205_DANRE^Q:310-822
evm.model.Seg1477.6,sp|Q5REM8|TM205_PONAB^sp|Q5REM8|TM205_PONAB^Q:247-786
evm.model.Seg1477.6,sp|Q5REM8|TM205_PONAB^sp|Q5REM8|TM205_PONAB^Q:247-786
evm.model.Seg1477.7,sp|Q55C17|TECR_DICDI^sp|Q55C17|TECR_DICDI^Q:551-1282
evm.model.Seg1477.8,.
evm.model.Seg1477.8,.
evm.model.Seg1477.9,sp|P21249|ANT1_ONCVO^sp|P21249|ANT1_ONCVO^Q:52-2055
evm.model.Seg1477.10,.
evm.model.Seg1477.11,.
evm.model.Seg1477.12,.
evm.model.Seg1477.13,sp|P39429|TRAF2_MOUSE^sp|P39429|TRAF2_MOUSE^Q:391-993
evm.model.Seg1477.14,sp|Q9DBQ7|PACE1_MOUSE^sp|Q9DBQ7|PACE1_MOUSE^Q:1-813
evm.model.Seg1477.15,sp|Q8IZE3|PACE1_HUMAN^sp|Q8IZE3|PACE1_HUMAN^Q:215-523
evm.model.Seg1477.16,sp|Q5RE52|APC5_PONAB^sp|Q5RE52|APC5_PONAB^Q:833-2887
evm.model.Seg1477.17,sp|O22212|PRP4L_ARATH^sp|O22212|PRP4L_ARATH^Q:1-171
evm.model.Seg1477.18,.
evm.model.Seg1477.19,.
evm.model.Seg1477.20,.
evm.model.Seg1477.21,.
evm.model.Seg14775.1,sp|Q3SZZ7|FGL1_BOVIN^sp|Q3SZZ7|FGL1_BOVIN^Q:244-654
evm.model.Seg14778.1,.
evm.model.Seg1478.1,sp|Q8BQY8|HUS1_MOUSE^sp|Q8BQY8|HUS1_MOUSE^Q:1-306
evm.model.Seg1478.2,sp|O60921|HUS1_HUMAN^sp|O60921|HUS1_HUMAN^Q:94-489
evm.model.Seg1478.3,sp|Q80T11|USH1G_MOUSE^sp|Q80T11|USH1G_MOUSE^Q:4-273
evm.model.Seg1478.4,sp|P56213|ALR_MOUSE^sp|P56213|ALR_MOUSE^Q:17-160
evm.model.Seg1478.5,sp|Q63042|ALR_RAT^sp|Q63042|ALR_RAT^Q:112-288
evm.model.Seg1478.6,.
evm.model.Seg1478.7,sp|Q18775|DOPR4_CAEEL^sp|Q18775|DOPR4_CAEEL^Q:181-495
evm.model.Seg1478.8,sp|P24628|DRD2A_XENLA^sp|P24628|DRD2A_XENLA^Q:73-672
evm.model.Seg1478.9,.
evm.model.Seg1478.10,.
evm.model.Seg1478.11,.
evm.model.Seg1478.12,sp|Q810B6|ANFY1_MOUSE^sp|Q810B6|ANFY1_MOUSE^Q:1859-3604
evm.model.Seg1478.13,sp|Q7ZXH1|DHCR7_XENLA^sp|Q7ZXH1|DHCR7_XENLA^Q:31-1191
evm.model.Seg1478.14,.
evm.model.Seg1478.15,.
evm.model.Seg1478.16,.
evm.model.Seg14783.1,.
evm.model.Seg14783.2,sp|Q9HVW0|KDSD_PSEAE^sp|Q9HVW0|KDSD_PSEAE^Q:7-915
evm.model.Seg1479.1,.
evm.model.Seg1479.2_evm.model.Seg1479.3,.
evm.model.Seg1479.4,.
evm.model.Seg1479.4.1.57f48f76,.
evm.model.Seg1479.6,sp|P08510|KCNAS_DROME^sp|P08510|KCNAS_DROME^Q:919-2040
evm.model.Seg1479.5,sp|Q9CYL5|GAPR1_MOUSE^sp|Q9CYL5|GAPR1_MOUSE^Q:11194-11640
evm.model.Seg1479.6.1.57f48f76,sp|P08510|KCNAS_DROME^sp|P08510|KCNAS_DROME^Q:532-1653
evm.model.Seg1479.7,.
evm.model.Seg1479.8.2.57f48f76,sp|Q03427|LAMC_DROME^sp|Q03427|LAMC_DROME^Q:436-1578
evm.model.Seg1479.8,sp|P11048|LMNA_XENLA^sp|P11048|LMNA_XENLA^Q:436-2133
evm.model.Seg1479.8.1.57f48f76,sp|P08928|LAM0_DROME^sp|P08928|LAM0_DROME^Q:436-2217
evm.model.Seg1479.9,.
evm.model.Seg148.1,sp|Q9N121|GCSH_RABIT^sp|Q9N121|GCSH_RABIT^Q:187-582
evm.model.Seg148.2,sp|Q54RX9|RAB5B_DICDI^sp|Q54RX9|RAB5B_DICDI^Q:1-351
evm.model.Seg148.3,sp|P23414|ACH1_SCHGR^sp|P23414|ACH1_SCHGR^Q:47-229
evm.model.Seg148.4,sp|Q05941|ACHA7_RAT^sp|Q05941|ACHA7_RAT^Q:6-212
evm.model.Seg1480.1,sp|Q7SXN5|DNM1L_DANRE^sp|Q7SXN5|DNM1L_DANRE^Q:318-2525
evm.model.Seg1480.2,sp|Q8BX57|PXK_MOUSE^sp|Q8BX57|PXK_MOUSE^Q:13-1272
evm.model.Seg1480.3,.
evm.model.Seg1480.4,sp|O74549|UBC12_SCHPO^sp|O74549|UBC12_SCHPO^Q:700-1065
evm.model.Seg1480.4,sp|O74549|UBC12_SCHPO^sp|O74549|UBC12_SCHPO^Q:700-1065
evm.model.Seg1480.5,sp|Q5RD27|SRPK1_PONAB^sp|Q5RD27|SRPK1_PONAB^Q:361-945
evm.model.Seg14803.1,.
evm.model.Seg1481.1,.
evm.model.Seg1481.2,.
evm.model.Seg1481.3,sp|O02751|CFDP2_BOVIN^sp|O02751|CFDP2_BOVIN^Q:1-390
evm.model.Seg1481.4,.
evm.model.Seg1481.5,.
evm.model.Seg1481.6.1.57f48f76,.
evm.model.Seg1481.6.2.57f48f76,.
evm.model.Seg1481.6,.
evm.model.Seg1481.6.3.57f48f76,.
evm.model.Seg1481.7,.
evm.model.Seg1481.8,.
evm.model.Seg1481.9,.
evm.model.Seg1481.10,.
evm.model.Seg1482.1,.
evm.model.Seg1482.2,.
evm.model.Seg1482.3,.
evm.model.Seg1482.4,sp|Q6P0F9|INS1A_DANRE^sp|Q6P0F9|INS1A_DANRE^Q:394-1581
evm.model.Seg1482.5,.
evm.model.Seg1482.6,.
evm.model.Seg1482.7,.
evm.model.Seg1482.8,.
evm.model.Seg1482.9,.
evm.model.Seg1482.10,.
evm.model.Seg1482.11,sp|A5PK00|VPS36_BOVIN^sp|A5PK00|VPS36_BOVIN^Q:1-354
evm.model.Seg1482.12,.
evm.model.Seg1482.13,sp|Q6GLP0|CTNA2_XENLA^sp|Q6GLP0|CTNA2_XENLA^Q:22-201
evm.model.Seg1482.14,.
evm.model.Seg1482.15,.
evm.model.Seg1482.16,sp|Q6WBX8|RAD9B_HUMAN^sp|Q6WBX8|RAD9B_HUMAN^Q:14-775
evm.model.Seg14825.1,sp|D8VNT0|FCNV4_CERRY^sp|D8VNT0|FCNV4_CERRY^Q:301-750
evm.model.Seg1483.1,sp|O60683|PEX10_HUMAN^sp|O60683|PEX10_HUMAN^Q:3-722
evm.model.Seg14832.1,sp|O67098|RPE_AQUAE^sp|O67098|RPE_AQUAE^Q:22-537
evm.model.Seg14832.2,sp|P40747|YUXG_BACSU^sp|P40747|YUXG_BACSU^Q:370-666
evm.model.Seg14832.3,sp|Q9CLF7|Y1278_PASMU^sp|Q9CLF7|Y1278_PASMU^Q:1-867
evm.model.Seg1484.1,.
evm.model.Seg1484.2,sp|Q54K67|MANG_DICDI^sp|Q54K67|MANG_DICDI^Q:11-163
evm.model.Seg14841.1,sp|Q6DIV6|VIAAT_XENTR^sp|Q6DIV6|VIAAT_XENTR^Q:391-1554
evm.model.Seg14849.1,.
evm.model.Seg1485.1,.
evm.model.Seg1485.2,.
evm.model.Seg1485.3,.
evm.model.Seg1485.4,.
evm.model.Seg1485.5,.
evm.model.Seg1485.6,.
evm.model.Seg1485.7,.
evm.model.Seg1485.8,.
evm.model.Seg1485.9,.
evm.model.Seg1485.10,.
evm.model.Seg14853.1,.
evm.model.Seg14856.1,.
evm.model.Seg14856.2,.
evm.model.Seg1486.1,sp|O95922|TTLL1_HUMAN^sp|O95922|TTLL1_HUMAN^Q:236-1459
evm.model.Seg1486.1,sp|O95922|TTLL1_HUMAN^sp|O95922|TTLL1_HUMAN^Q:236-1459
evm.model.Seg1486.2,sp|Q5TJF6|S39A7_CANLF^sp|Q5TJF6|S39A7_CANLF^Q:581-1633
evm.model.Seg1486.2.1.57f48f76,sp|Q5TJF6|S39A7_CANLF^sp|Q5TJF6|S39A7_CANLF^Q:581-1462
evm.model.Seg1487.1,sp|Q9D9B4|CJ011_MOUSE^sp|Q9D9B4|CJ011_MOUSE^Q:213-626
evm.model.Seg1487.2,.
evm.model.Seg1487.3,.
evm.model.Seg1487.4,.
evm.model.Seg1487.5,sp|B0BN95|HARB1_RAT^sp|B0BN95|HARB1_RAT^Q:184-726
evm.model.Seg1487.6,.
evm.model.Seg1487.7,.
evm.model.Seg1487.8,.
evm.model.Seg1487.9,.
evm.model.Seg1487.10,.
evm.model.Seg1487.11,.
evm.model.Seg1487.12,.
evm.model.Seg1487.13,sp|O93209|POL_FFV^sp|O93209|POL_FFV^Q:953-1414
evm.model.Seg1487.13,sp|O93209|POL_FFV^sp|O93209|POL_FFV^Q:953-1414
evm.model.Seg1487.14,.
evm.model.Seg1487.15,.
evm.model.Seg1487.16,sp|A5D7H2|STRN3_BOVIN^sp|A5D7H2|STRN3_BOVIN^Q:1101-1265
evm.model.Seg1487.17,.
evm.model.Seg1487.18,.
evm.model.Seg1487.19,.
evm.model.Seg1487.20,.
evm.model.Seg1487.21,.
evm.model.Seg14870.1,sp|Q28718|CNGA2_RABIT^sp|Q28718|CNGA2_RABIT^Q:649-1065
evm.model.Seg1488.1,sp|P55112|NAS4_CAEEL^sp|P55112|NAS4_CAEEL^Q:593-1258
evm.model.Seg1488.2,.
evm.model.Seg1488.3,sp|P98106|LYAM3_RAT^sp|P98106|LYAM3_RAT^Q:3-305
evm.model.Seg14887.1,.
evm.model.Seg14887.2,.
evm.model.Seg1489.1,sp|P09917|LOX5_HUMAN^sp|P09917|LOX5_HUMAN^Q:544-2511
evm.model.Seg1489.1.1.57f48f76,sp|P09917|LOX5_HUMAN^sp|P09917|LOX5_HUMAN^Q:134-1624
evm.model.Seg1489.2,sp|Q1LZI2|S35F3_MOUSE^sp|Q1LZI2|S35F3_MOUSE^Q:1102-2004
evm.model.Seg1489.3,sp|P17213|BPI_HUMAN^sp|P17213|BPI_HUMAN^Q:251-1603
evm.model.Seg1489.4,sp|O97902|ASAP1_BOVIN^sp|O97902|ASAP1_BOVIN^Q:154-2235
evm.model.Seg1489.5,sp|Q92519|TRIB2_HUMAN^sp|Q92519|TRIB2_HUMAN^Q:572-1498
evm.model.Seg1489.6,sp|Q9NR82|KCNQ5_HUMAN^sp|Q9NR82|KCNQ5_HUMAN^Q:2-1165
evm.model.Seg14892.1,.
evm.model.Seg149.1,.
evm.model.Seg149.2,.
evm.model.Seg149.3,sp|Q66JY6|ARG39_MOUSE^sp|Q66JY6|ARG39_MOUSE^Q:311-1237
evm.model.Seg149.3,sp|Q66JY6|ARG39_MOUSE^sp|Q66JY6|ARG39_MOUSE^Q:311-1237
evm.model.Seg149.4,sp|Q4R7M0|THAP5_MACFA^sp|Q4R7M0|THAP5_MACFA^Q:67-513
evm.model.Seg149.5,sp|Q9Z321|TOP3B_MOUSE^sp|Q9Z321|TOP3B_MOUSE^Q:1-168
evm.model.Seg149.6,sp|O95985|TOP3B_HUMAN^sp|O95985|TOP3B_HUMAN^Q:1-183
evm.model.Seg149.7,sp|O15078|CE290_HUMAN^sp|O15078|CE290_HUMAN^Q:1-180
evm.model.Seg149.8,sp|O42249|GBLP_ORENI^sp|O42249|GBLP_ORENI^Q:203-1060
evm.model.Seg149.9,sp|Q6NRY2|NOL6_XENLA^sp|Q6NRY2|NOL6_XENLA^Q:115-3516
evm.model.Seg149.10,sp|Q9BY84|DUS16_HUMAN^sp|Q9BY84|DUS16_HUMAN^Q:191-1057
evm.model.Seg149.11,.
evm.model.Seg1490.1,.
evm.model.Seg14908.1,.
evm.model.Seg1491.1,sp|P20107|ZRC1_YEAST^sp|P20107|ZRC1_YEAST^Q:516-1328
evm.model.Seg1491.2,.
evm.model.Seg1491.3,.
evm.model.Seg1491.4,sp|Q3UP23|TMM26_MOUSE^sp|Q3UP23|TMM26_MOUSE^Q:1395-1949
evm.model.Seg1491.5,.
evm.model.Seg1491.6,.
evm.model.Seg1491.7,sp|P00940|TPIS_CHICK^sp|P00940|TPIS_CHICK^Q:511-1251
evm.model.Seg1491.8,sp|P55112|NAS4_CAEEL^sp|P55112|NAS4_CAEEL^Q:818-1489
evm.model.Seg1491.9,sp|P55115|NAS15_CAEEL^sp|P55115|NAS15_CAEEL^Q:1407-2090
evm.model.Seg14912.1,.
evm.model.Seg1492.1,.
evm.model.Seg1492.2,sp|P49257|LMAN1_HUMAN^sp|P49257|LMAN1_HUMAN^Q:478-1830
evm.model.Seg1492.3,.
evm.model.Seg1492.4,.
evm.model.Seg1493.1,sp|Q92035|ACES_BUNFA^sp|Q92035|ACES_BUNFA^Q:1-990
evm.model.Seg1493.2,.
evm.model.Seg1493.3,sp|P21448|MDR1_CRIGR^sp|P21448|MDR1_CRIGR^Q:1-414
evm.model.Seg1493.4,sp|P21447|MDR1A_MOUSE^sp|P21447|MDR1A_MOUSE^Q:364-2121
evm.model.Seg1493.5,sp|Q5EAB6|PMGT1_BOVIN^sp|Q5EAB6|PMGT1_BOVIN^Q:1-1323
evm.model.Seg1493.6,sp|Q9VXE5|PAKM_DROME^sp|Q9VXE5|PAKM_DROME^Q:825-1694
evm.model.Seg1493.7,sp|Q9VVY3|GBS76_DROME^sp|Q9VVY3|GBS76_DROME^Q:280-852
evm.model.Seg1493.8,sp|Q6NX49|ZN544_HUMAN^sp|Q6NX49|ZN544_HUMAN^Q:1303-1782
evm.model.Seg1493.9,sp|Q6PCL9|PAPOG_MOUSE^sp|Q6PCL9|PAPOG_MOUSE^Q:334-2037
evm.model.Seg1493.9.1.57f48f76,sp|P25500|PAPOA_BOVIN^sp|P25500|PAPOA_BOVIN^Q:576-2162
